"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"in-7c4c705a4b69560d","indeed","https://uk.indeed.com/viewjob?jk=7c4c705a4b69560d","https://careers.n-able.com/jobs/20628/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","UI Developer","N-Able","Edinburgh, SCT, GB","2026-04-21","fulltime","","","","","",False,"","","","","Why N\\-able:

At N\\-able, we’re not just helping businesses be secure —we’re redefining what it means to be cyber resilient. Our end\\-to\\-end platform blends AI\\-powered capabilities and flexible tech stacks, so customers can manage, secure, and recover with confidence. But the real power behind it all? Our people. We’re a global crew of N\\-ablites, who love solving complex problems, sharing knowledge, and delivering solutions that actually make a difference. If you're into meaningful work, fast growth, and a team that’s got your back, you’ll be surrounded by people who believe in what they do—and in you.
What You'll Do:
* Build, configure, and maintain in\\-app guides and messages (onboarding, feature education, tooltips, banners, surveys) using Pendo.
* Use HTML, CSS, and light JavaScript to customize the look, feel, and behavior of in\\-app experiences.
* Use analytics and reporting to measure the effectiveness of in\\-app experiences and identify opportunities for improvement.
* Create dashboards and reports to track engagement, adoption, and outcomes of in\\-app messages and guides.
* Iterate on in\\-app experiences based on data, experimentation, and customer feedback.
* Facilitate core Scrum ceremonies and ensure clear outcomes and follow\\-ups.


What You'll Bring:

Experience building in\\-app guides, messages, or digital adoption experiences (ideally using Pendo or similar tools).* Working knowledge of HTML and CSS, with JavaScript used to customize or enhance in\\-app experiences.
* Strong understanding of user workflows, user journeys, and customer\\-centric design.
* Hands\\-on experience using analytics and reporting to evaluate in\\-app experience effectiveness.
* Experience working in a Product\\-Led Growth (PLG) environment where in\\-product experiences support onboarding, adoption, cross\\-sell and engagement.
* Ability to translate data and insights into concrete improvements in in\\-app messaging and guidance.
* Comfortable collaborating cross\\-functionally with Product, UX, Analytics, and Engineering teams.
* Experience supporting Agile delivery by facilitating key ceremonies, aligning with the Product Owner, and driving clear action items.

  

Nice to have:* Familiarity with SaaS product metrics such as engagement, feature adoption, or retention.
* Experience working in SaaS or B2B product organizations.
* Experience working with distributed or global teams.
* Scrum Master certification (CSM, PSM, or equivalent) or demonstrated equivalent experience


Purple Perks:
* Medical, dental and vision coverage
* Generous PTO and observed holidays
* 2 Paid VoluNteer Days per year
* Employee Stock Purchase Program
* FuN\\-raising opportunities as part of our giving program
* N\\-ablite Learning – custom learning experience as part of our investment in you
* The Way We Work – our hybrid working model based on trust and flexibility


About N\\-able:

At N\\-able, our mission is to protect businesses against evolving cyberthreats with an end\\-to\\-end cyber resilience platform to manage, secure, and recover. Our scalable technology infrastructure includes AI\\-powered capabilities, market\\-leading third\\-party integrations, and the flexibility to employ technologies of choice—to transform workflows and deliver critical security outcomes. Our partner\\-first approach combines our products with experts, training, and peer\\-led events that empower our customers to be secure, resilient, and successful.  

\\#LI\\-JH1 \\#LI\\-Hybrid","","https://uk.indeed.com/cmp/N--able","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/1336e65943e0e39ab3cb355caa6cc8fe","https://www.n-able.com","Boston, Massachusetts","1,001 to 5,000","$100M to $500M (USD)","N-able Technologies enables customers with management software for managed services and IT governance.","","","","","",""
"in-ebc098ea79ddc050","indeed","https://uk.indeed.com/viewjob?jk=ebc098ea79ddc050","https://4jstudios.com/careers/senior-ui-ux-artist/","Principal UI/UX Artist (Dundee)","4J Studios","Dundee, SCT, GB","2026-04-20","","","","","","",False,"","","","jobs@4jstudios.com","We have an exciting opportunity for an experienced Principal UI Artist to join our Dundee studio. We are looking for someone who is creative, enthusiastic and has a passion for games, UI/UX, Graphic Design and 2D Motion Graphics. Ideally we are looking for a candidate with 8 years experience, and at least 2 published console games.  

  

At 4J Studios we value creativity, collaboration, and quality, and we are searching for like\\-minded individuals to add to our growing team.


### **The Role**


You will work closely with the Art, Design and Software teams to create engaging User Interface experiences. You need to be great at visualising, have strong communication skills and have a portfolio that demonstrates your skillset and creativity.  

You will be responsible for the outcomes in concepting, technical design, prototyping, documenting, and delivering UI/UX designs for our core project, *Reforj*. You will also provide mentorship and leadership to help grow the UI team.


### **Required Knowledge, Skills, and Abilities**


* Strong portfolio demonstrating creativity, technical proficiency, and design ability.
* Excellent problem‑solving skills and a willingness to experiment and prototype.
* Proficiency in flowcharting, wireframing, and UI prototyping.
* Strong understanding of interaction design and usability principles.
* Knowledge of inclusive UI tools and accessibility best practices.
* Skills in motion graphics or 2D animation.
* Expert‑level knowledge of Adobe Photoshop, Illustrator, Animate, and/or After Effects.
* Strong communication skills, with the ability to convey technical and non‑technical information clearly.
* Up‑to‑date awareness of UI trends and a drive for innovation.
* Experience releasing titles on consoles.

### **Preferred skills**


* Experience with Noesis or XAML.
* Multi‑platform development experience.
* Knowledge of scripting or blueprinting for rapid prototyping.
* Ability to propose mitigation plans for UI‑related risks and challenges.
* Contribution to long‑term studio‑wide initiatives.

### **Eligibility Requirements**


* Must have the right to work in the United Kingdom.
* Must be willing to work onsite in Dundee, Scotland.

### **Benefits**


In return we offer a friendly, small, multi\\-disciplinary team where your input really helps shape the products, in addition to a competitive salary and a host of benefits.


* Generous pension
* Income protection
* Life assurance
* Private medical insurance
* Dental insurance
* Employee assistance programme
* Cycle to work scheme
* Electric car lease scheme
* Savings \\& discounts


If this sounds like the type of environment you’d like to work in then please fill out the form below or send your CV and covering letter to:  

Email: **jobs@4jstudios.com**  

  

Note: Direct applications only please. No recruitment agencies.","","https://uk.indeed.com/cmp/4j-Studios","","http://www.4jstudios.com/","Dundee and East Linton, Scotland","","","","","","","","",""
"in-f92803d05b973670","indeed","https://uk.indeed.com/viewjob?jk=f92803d05b973670","http://uk.indeed.com/job/web-application-developer-f92803d05b973670","Web Application Developer","Optimise Web","Edinburgh, SCT, GB","2026-04-20","fulltime","","","","","",True,"","","","","**About Optimise Solutions**

**Optimise Solutions** is a leading provider of business management software for independent retail and trade companies. Our flagship product, *Optimise*, is trusted by over 600 business users across the UK and Ireland as a comprehensive and cost\\-effective ERP solution.

The role will focus on the continued development of a web frontend (.NET and React) to our existing desktop based system, interfacing with an Azure SQL database and extending the features in\\-line with our development roadmap.

In addition to our core software, we deliver development, hosting, support, and integration services—helping our customers extend their operations through platforms such as Shopify, WordPress, and Magento2\\.

We are looking for a passionate and collaborative team member to join us and contribute to our continued success. In this role, you will apply your skills to modernise our frontend, developing web applications and reporting solutions that integrate seamlessly with our existing systems. You will also work closely with our customers, supporting their ongoing requirements and helping shape future developments.

This is an excellent opportunity for a motivated self\\-starter who can manage their time effectively and is eager to expand their skill set. We offer a flexible, open working culture where your ideas are valued, and you’ll have real opportunities to make an impact and grow.

**About the candidate (You):**

* You are passionate about web technology and you challenge yourself to improve every day.
* You are enthusiastic when it comes to using engineering and security best practices
* You have a strong eye for UI/UX design and usability
* You directly support client operations by offering consultancy and advice. This role requires direct contact with customers and an inquisitive attitude.
* You enjoy working in a fast\\-moving and dynamic environment. You will demonstrate an entrepreneurial spirit to achieve results in whatever you do.
* You take ownership of tasks and show commitment to the clients you work with. You show great attention to detail and produce high quality output.
* You have excellent organisation and time management skills. You will be expected to submit time reports on a daily basis through a project management system.
* You have excellent written communication and phone manner.

**Technical Skills \\& Experience:**

* Building full stack applications using C\\# /.NET and React
* Microsoft SQL Server, including Stored procedures
* Azure App Service for deployment and monitoring of cloud applications.
* Implementing CI/CD pipelines using Azure DevOps
* Integrating third\\-party APIs, such as payment gateways
* Wordpress \\& CMS systems

**Bonus for:**

* Having Worked with Material UI Framework
* Shopify and Magento / Magento 2 experience
* Experience with PHP
* Experience with server tools: Cloudflare, CPanel, DNS, SSH and WinSCP
* Adobe Photoshop / Illustrator / Canva
* Managing project deliverables using Jira
* A cool hobby.

**What we offer in return?**

* Comprehensive support, mentoring and guidance
* Competitive salary and performance bonuses
* Team events, lunches and drinks nights
* Relaxed and friendly work environment
* Edinburgh City centre office

Job Type: Full\\-time

Pay: £30,000\\.00\\-£35,000\\.00 per year

Work Location: Hybrid remote in Edinburgh EH2 4QG","Internet And Software","https://uk.indeed.com/cmp/Optimise-Web","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/10ecd25e3c9452a5cb441aaf43f0ed2e","https://optimiseweb.co.uk/","12 Alva Street
EH2 4QG
Edinburgh","","","","","","","","",""
"in-bd85914bfc7b97ae","indeed","https://uk.indeed.com/viewjob?jk=bd85914bfc7b97ae","https://grnh.se/j3rhv2ml1us","Lead Product Designer - Product & Experience","Capco","Edinburgh, SCT, GB","2026-04-16","fulltime","","","","","",False,"","","","","**Lead Product Designer**  

Location: Edinburgh (Hybrid) \\| Practice Area: Product \\& Experience \\| Type: Permanent


**Design with impact. Lead with empathy. Transform experiences.**


**The Role**  

Capco is a global technology and business consultancy focused on the financial services and energy sectors. Our designers translate strategy into intuitive digital products and engaging customer experiences, transforming businesses and impacting millions of users around the world.



We are seeking experienced Product Design leaders who will shape the future of financial services by guiding transformative projects, partnering with clients to deliver innovative solutions, and supporting teams to create experiences used at scale.



You will play a critical role in defining how *AI* and emerging technologies are embedded into digital products and services, helping clients move from experimentation to real, production\\-grade *AI*\\-enabled experiences \\- designed with responsibility, transparency, and measurable value.  

  

This role will sit in our Scotland office, with a need to potentially work in either Glasgow or Edinburgh depending on client expectations.


**What You'll Do**


* Lead complex customer experience and design engagements, aligning business goals with user\\-centred and *AI*\\-enabled product opportunities
* Partner with clients to shape product vision, design strategy, and experience roadmaps
* Identify opportunities to apply *AI*, automation, and data\\-driven design to deliver meaningful business and user outcomes
* Contribute to the evolution of Capco's design methodologies, including human\\-*AI* interaction and responsible design practices
* Support and mentor designers, fostering a culture of continuous learning, collaboration, and high\\-quality delivery


**What We're Looking For**


* Demonstrated experience leading UX/UI design initiatives within consulting, agency, or in\\-house environments
* Strong understanding of digital product development, agile methodologies, and stakeholder collaboration
* Ability to communicate ideas clearly and influence decisions across a range of stakeholders
* Experience working across the end\\-to\\-end design lifecycle, from discovery through to delivery
* A collaborative mindset with a focus on inclusive, user\\-centred design


**Bonus Points For**


* Experience contributing to or scaling design systems and UX frameworks
* Knowledge of behavioural science, human factors, or experimental design approaches
* Familiarity with *AI*\\-enabled design tools, workflows, or emerging technologies
* Experience working with cross\\-functional teams including data and engineering
* Background in financial services or other regulated industries


**Why Join Capco**


* Deliver high\\-impact technology solutions for Tier 1 financial institutions
* Work in a collaborative, flat, and entrepreneurial consulting culture
* Access continuous learning, *training*, and industry certifications
* Be part of a team shaping the future of digital financial services
* Help shape the future of digital transformation across FS \\& Energy.


We offer a competitive, people\\-first benefits package designed to support every aspect of your life:


* **Core Benefits**: Discretionary bonus, competitive pension, health insurance, life insurance and critical illness cover
* **Mental Health**: Easy access to CareFirst, Unmind, Aviva consultations, and in\\-house first aiders
* **Family\\-Friendly**: Maternity, adoption, shared parental leave, plus paid leave for sickness, pregnancy loss, fertility treatment, menopause, and bereavement
* **Family Care**: 8 complimentary backup care sessions for emergency childcare or elder care
* **Holiday Flexibility**: 5 weeks of annual leave with the option to buy or sell holiday days based on your needs
* **Continuous Learning**: Minimum 40 Hours of *Training* Annually: Take your pick \\-workshops, certifications, e\\-learning\\- your growth, your way. Also, Business Coach assigned from Day One: Get one\\-on\\-one guidance to fast\\-track your goals and accelerate your development
* **Healthcare Access**: Convenient online GP services
* **Extra Perks**: Gympass (Wellhub), travel insurance, Tastecard, season ticket loans, Cycle to Work, and dental insurance


**Inclusion at Capco**  

We're committed to making our recruitment process accessible and straightforward for everyone. If you need any adjustments at any stage, just let us know – we'll be happy to help. We value each person's unique perspective and contribution. At Capco, we believe that being yourself is your greatest strength. Our **\\#BeYourselfAtWork** culture encourages individuality and collaboration – a mindset that shapes how we work with clients and each other every day. \\#LI\\-DNI","","https://uk.indeed.com/cmp/Capco","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c500d5c171b661583e684b4a3e0d1d27","http://www.capco.com","London, England","5,001 to 10,000","$500M to $1B (USD)","At Capco, all employees are encouraged to challenge, change and create ideas.","","","","","",""
"in-3d36a8922956ffc4","indeed","https://uk.indeed.com/viewjob?jk=3d36a8922956ffc4","https://careers.goswag.com/jobs/7337854-front-end-designer-figma-next-js","Front End Designer (Figma, Next.js)","Go Swag","Glasgow, SCT, GB","2026-03-05","","","","","","",True,"","","","","##### **About Go Swag**

**We’re reinventing the corporate gifting industry through technology.**


Founded by tech entrepreneurs, Go Swag is moving beyond traditional ""merch."" We believe that software, AI, and smart automation can completely transform how the world’s biggest brands celebrate, reward, and build relationships. While the rest of the industry has been slow to change, we are building a future where technology powers personalisation at scale and operational excellence.


From onboarding packs for new hires to global event giveaways, we deliver sustainable, premium merchandise that recipients actually love and use for years. We handle the entire end\\-to\\-end lifecycle \\- design, production, global storage, and distribution \\- making branded gifting effortless and borderless.

**Why join us?**

* **Elite Client Base:** We are trusted by the most influential companies on the planet, including Meta, Intel, Unilever, ElevenLabs, and Lovable.
* **Tech as a Differentiator:** We aren't just a gifting company; we are a tech\\-first platform using NextJS, AI, and automation to disrupt a global market.
* **Sustainability without Compromise:** We champion high\\-quality, recycled products, moving the industry away from gimmicks and toward long\\-lasting impact.

**How we build products at Go Swag**


We’ve turned our product development framework on its head by fully embracing the power of LLMs in our process. Instead of fitting AI into a traditional process, we’ve adopted an AI\\-first approach where design and development run side by side, enabling us to build functional prototypes in days, gather real user feedback early, and launch new functionality faster than ever. This approach shortens feedback loops and accelerates innovation, while keeping our focus on secure, stable, and scalable systems.

**The role**


We are looking for a talented **Front End Designer** to become the architect of our digital identity, responsible for creating the aesthetic soul of both Go Swag and GoStudio. As a design and engineering hybrid, you will move seamlessly between Figma and NextJS code, elevating the UX/UI across our entire ecosystem of internal tools and client\\-facing platforms.


You’ll bring a commercial mindset to the Digital Experience pod, owning a company website revamp as a key initial project. We're keen to bring on someone who can deliver a sophisticated, modern aesthetic that signals our position as a tech\\-led disruptor. Ultimately, you are the bridge between vision and execution, ensuring our technology looks as incredible as it performs.


You will also lead on our GoStudio website UI to showcase our premium graphic design services, ensuring that this standalone site serves as a visually stunning showcase of our bespoke creative capabilities.


You will work closely with the Chief Product Officer, take ownership of key projects end\\-to\\-end, and iteratively improve on live products.

**Where this role fits within our team**


This role will be the primary Design resource for both our **Core Services** and **Digital Experience** teams.


The Core Services team is responsible for continuous support on our existing client\\-facing and internal platforms, tackling existing product debt, building planned new functionalities and improving overall UX to enhance customer experience, and responding swiftly to client requests and new opportunities as they arise. The majority of work within this team will impact **Plus** our client\\-facing swag platform where customers can view manage inventory, manage shipments, and raise requests to move swag to their preferred location; **Glue**, our internal platform that supports our Fulfilment team; and **Claim Pages**, our swag redemption technology used end recipients of branded gifts.


The Digital Experience team is responsible for the revamp and subsequent continuous improvements to the Go Swag website, as well as constant experimentation with lead generation tools. This team will collaborate closely with the Growth team. Main areas of focus for this team are: the revamp of the Go Swag website to better reflect our market positioning and apply our new look and feel throughout, as well as experimentation with restructuring goswag.com around different levels lead gen automation, from an E2E, central experience for prospects to a secondary qualification tool.


Finally, some UX/UI support will also be needed by our Innovation team, who is responsible for the creation of entirely new functionalities and tools within the Go Swag environment.

**Essential Skills**

* Proven experience designing digital solutions, preferably in tech or tech\\-enabled startups or similar fast\\-moving environments.
* Ability to lead projects end\\-to\\-end, owning all stages of the process from research and ideation through to UX/UI, user testing, and data\\-driven iterations.
* Strong UI skills, a keen eye for detail, and the ability to continuously improve on an existing visual language.
* Front\\-end coding proficiency (we're using TypeScript and Next.js), coupled with a genuine enthusiasm for an AI\\-first workflow, using Claude or other GenAI tools.
* Ownership mentality, and the ability to thrive in an environment that values people who take initiatives and always look for new and better ways of doing things.

 **Desirable Skills**

* Ability to interpret qualitative and quantitative data to inform and refine design decisions.
* Hands\\-on experience with creating and maintaining design systems in collaboration with engineers.
* Have a desire and ability to work under minimal supervision, enjoying a great deal of autonomy and accountability, whilst never being afraid to ask others for help or support.
* Demonstrated success working cross\\-functionally with various internal stakeholders including product managers and commercial teams.
* Collaborative spirit and a preference for clear and honest communication.

**Growth Mindset Over Checklists:** We’re looking for impact, not just a perfect cv. If you’re excited about this role but don't check every single box, we still want to hear from you. We see these requirements as a guide; what matters most is your potential to contribute, your passion for our mission, and your ability to solve complex problems.

**Practical details**

* **Role:** Product Designer
* **You'll report to:** Chief Product Officer
* **Team:** Product
* **Location**: Anywhere in the UK (with option to work flexibly from our Glasgow HQ)
* **Start date**: As soon as possible

**Application process**

* **Portfolio review**: we’ll asynchronously review your previous work and experience to understand if you’re a good fit for the role
* **Interview with the CPO**: you’ll have a chance to discuss your experience and present your work in more detail
* **Design challenge**: you’ll have a chance to showcase your skills in a practical task
* **Final interview**: you’ll discuss your Design challenge with various members of the Product team
* Offer

**Benefits**

* Enjoy 30 days’ annual leave (inclusive of bank holidays), plus an additional 3\\-day company\\-wide Christmas closure, plus an additional 1\\-day to celebrate the World Cup (2026\\). We believe in a hard reset at the end of the year so everyone can disconnect and recharge without the ""inbox anxiety"".
* This role includes an equity package, ensuring you have a real stake in the company’s success as we scale toward our next major milestones.
* You’ll receive a high\\-spec MacBook (Pro/Air) tailored to your specific role, whether that’s a ""souped\\-up"" machine for heavy design/FE engineering or a portable powerhouse for driving global sales.
* We offer enhanced parental leave, offering 12 weeks’ full pay for primary care\\-givers and 4 weeks’ full pay for secondary care\\-givers, ensuring you can focus on what matters most during those first few months.
* As an early hire in a scaling team, you won't just follow a playbook, you'll help write it. Your work directly shapes our product and culture.
* You’ll join a flat structure where you’re encouraged to act like an owner, with the unique opportunity to influence your own career path.
* You'll get the full Go Swag experience: premium, sustainable curated gift packs to celebrate your own milestones.","","https://uk.indeed.com/cmp/Go-Swag-1","","","","","","","","","","","",""
"li-4404560340","linkedin","https://www.linkedin.com/jobs/view/4404560340","","Product Owner - Software Platform","Resource Data Management","Glasgow, Scotland, UK","2026-04-21","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/resourcedatamanagementltd","","","","","","","","","","","",""
"li-4401637495","linkedin","https://www.linkedin.com/jobs/view/4401637495","","User Researcher","Ofgem","Glasgow, Scotland, UK","2026-04-20","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/ofgem","","","","","","","","","","","",""
"li-4401642413","linkedin","https://www.linkedin.com/jobs/view/4401642413","","Senior Service Designer","Ofgem","Glasgow, Scotland, UK","2026-04-20","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/ofgem","","","","","","","","","","","",""
"li-4391796596","linkedin","https://www.linkedin.com/jobs/view/4391796596","","Product Director - Head of Cloud Foundations Portfolio Management","JPMorganChase","Glasgow, Scotland, UK","2026-04-18","","","","","","",False,"","","","","","","https://www.linkedin.com/company/jpmorganchase","","","","","","","","","","","",""
"li-4403546617","linkedin","https://www.linkedin.com/jobs/view/4403546617","","Remote Study Participants - AI & Research (Edinburgh)","Prolific","Edinburgh, Scotland, UK","2026-04-17","","","","","","",True,"","","","","","","https://uk.linkedin.com/company/prolific-com","","","","","","","","","","","",""
"li-4403546618","linkedin","https://www.linkedin.com/jobs/view/4403546618","","Remote Study Participants - AI & Research (Glasgow)","Prolific","Glasgow, Scotland, UK","2026-04-17","","","","","","",True,"","","","","","","https://uk.linkedin.com/company/prolific-com","","","","","","","","","","","",""
"li-4402738260","linkedin","https://www.linkedin.com/jobs/view/4402738260","","Senior Content Designer - 12 Month FTC","Skyscanner","Edinburgh, Scotland, UK","2026-04-17","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/skyscanner","","","","","","","","","","","",""
"li-4402748116","linkedin","https://www.linkedin.com/jobs/view/4402748116","","Senior Content Designer - 12 Month FTC","Skyscanner","Glasgow, Scotland, UK","2026-04-17","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/skyscanner","","","","","","","","","","","",""
"li-4402073046","linkedin","https://www.linkedin.com/jobs/view/4402073046","","Product Manager, Security Product Management","BlackBerry","Glasgow, Scotland, UK","2026-04-17","","","","","","",False,"","","","","","","https://ca.linkedin.com/company/blackberry","","","","","","","","","","","",""
"li-4402745885","linkedin","https://www.linkedin.com/jobs/view/4402745885","","Senior Product Manager - Flight Connectivity","Hopper","Edinburgh, Scotland, UK","2026-04-17","","","","","","",False,"","","","","","","https://ca.linkedin.com/company/hopper","","","","","","","","","","","",""
"li-4403921921","linkedin","https://www.linkedin.com/jobs/view/4403921921","","Senior Flutter Developer","hedgehog lab","Edinburgh, Scotland, UK","2026-04-17","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/hedgehog-lab","","","","","","","","","","","",""
"li-4402153078","linkedin","https://www.linkedin.com/jobs/view/4402153078","","UX Designer (12 Month FTC)","Lloyds Banking Group","Edinburgh, Scotland, UK","2026-04-16","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/lloyds-banking-group","","","","","","","","","","","",""
"li-4402947834","linkedin","https://www.linkedin.com/jobs/view/4402947834","","User Researcher","Test Driven Solutions Ltd.","Edinburgh, Scotland, UK","2026-04-16","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/test-driven-solutions-ltd","","","","","","","","","","","",""
"li-4402922948","linkedin","https://www.linkedin.com/jobs/view/4402922948","","Content Designer (12 Month FTC)","Lloyds Banking Group","Edinburgh, Scotland, UK","2026-04-16","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/lloyds-banking-group","","","","","","","","","","","",""
"li-4402946891","linkedin","https://www.linkedin.com/jobs/view/4402946891","","Product Designer","DC Thomson","Glasgow, Scotland, UK","2026-04-16","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/dc-thomson","","","","","","","","","","","",""
"li-4402952177","linkedin","https://www.linkedin.com/jobs/view/4402952177","","Product Designer","DC Thomson","Dundee, Scotland, UK","2026-04-16","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/dc-thomson","","","","","","","","","","","",""
"li-4402195008","linkedin","https://www.linkedin.com/jobs/view/4402195008","","Front End Designer (Figma, Next.js)","Go Swag","Glasgow, Scotland, UK","2026-04-16","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/goswag","","","","","","","","","","","",""
"li-4400150733","linkedin","https://www.linkedin.com/jobs/view/4400150733","","Service Design & Improvement Specialist","Trust Housing Association","Edinburgh, Scotland, UK","2026-04-16","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/trust-housing-association","","","","","","","","","","","",""
"li-4391075924","linkedin","https://www.linkedin.com/jobs/view/4391075924","","Product Designer","FanDuel","Edinburgh, Scotland, UK","2026-04-16","","","","","","",False,"","","","","","","https://www.linkedin.com/company/fanduel","","","","","","","","","","","",""
"li-4370706197","linkedin","https://www.linkedin.com/jobs/view/4370706197","","Senior Director of Product Design","Skyscanner","Edinburgh, Scotland, UK","2026-04-16","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/skyscanner","","","","","","","","","","","",""
"li-4370711089","linkedin","https://www.linkedin.com/jobs/view/4370711089","","Senior Director of Product Design","Skyscanner","Glasgow, Scotland, UK","2026-04-16","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/skyscanner","","","","","","","","","","","",""
"li-4399996129","linkedin","https://www.linkedin.com/jobs/view/4399996129","","Senior Product Designer","Cathcart Technology","Edinburgh, Scotland, UK","2026-04-15","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/cathcart-associates","","","","","","","","","","","",""
"li-4399969189","linkedin","https://www.linkedin.com/jobs/view/4399969189","","Lifecycle Marketing Designer (CRM)","myGwork - LGBTQ+ Business Community","Edinburgh, Scotland, UK","2026-04-15","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/mygwork","","","","","","","","","","","",""
"li-4401986143","linkedin","https://www.linkedin.com/jobs/view/4401986143","","Associate Service Designer - Industrial Placement","HM Revenue & Customs","Edinburgh, Scotland, UK","","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/hmrc","","","","","","","","","","","",""
"li-4404981632","linkedin","https://www.linkedin.com/jobs/view/4404981632","","Content Designer","Storm ID","Edinburgh, Scotland, UK","","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/stormid","","","","","","","","","","","",""
